Price, 
1000.0
1015.0
1065.0
600.0
840.0
1275.0
1620.0
1770.0
1070.0
800.0
1200.0
850.0
1565.0
1350.0
1765.0
1175.0
1485.0
1650.0
925.0
1320.0
1395.0
1075.0
1365.0
940.0
1205.0
1700.0
405.0
1170.0
1300.0
1370.0
1395.0
830.0
270.0
1450.0
1300.0
1800.0
890.0
1070.0
990.0
1415.0
670.0
275.0
750.0
850.0
