Position_2,Refraction_2
0.0,0.0
0.25,0.004175230256135115
0.5,0.008351989532438153
0.75,0.012531808758137308
1.0,0.016716222694236782
1.25,0.020906771846634697
1.5,0.025105004416553722
1.75,0.029312478259558405
2.0,0.03353076287605372
2.25,0.03776144142895754
2.5,0.042006112803255835
2.75,0.04626639370618513
3.0,0.050543920817543775
3.25,0.05484035299613543
3.5,0.05915737354881978
3.75,0.06349669256658874
4.0,0.06786004934062095
4.25,0.07224921485949043
4.5,0.07666599440034005
4.75,0.08111223021982461
5.0,0.08558980435589625
5.25,0.09010064154942743
5.5,0.0946467122942618
5.75,0.0992300360307743
6.0,0.10385268449059115
6.25,0.10851678520843056
6.5,0.11322452521260207
6.75,0.1179781549106842
7.0,0.12277999218587876
7.25,0.1276324267201625
7.5,0.13253792456536484
7.75,0.13749903298043886
8.0,0.14251838555800234
8.25,0.14759870766490657
8.5,0.15274282222107693
8.75,0.15795365584778942
9.0,0.16323424541513099
9.25,0.16858774502339813
9.5,0.17401743345643794
9.75,0.1795267221470649
10.0,0.1851191637023586
10.25,0.19079846103604758
10.5,0.1965684771655276
10.75,0.2024332457334168
11.0,0.20839698232116888
11.25,0.214464096630282
11.5,0.22063920561324757
11.75,0.22692714764824906
12.0,0.233332997858831
12.25,0.2398620846948898
12.5,0.24652000790348438
12.75,0.2533126580336109
13.0,0.2602462376374799
13.25,0.2673272843499852
13.5,0.27456269605375994
13.75,0.28195975836147547
14.0,0.2895261746810842
14.25,0.2972700991626489
14.5,0.3052001728713112
14.75,0.31332556357656927
15.0,0.32165600960761154
15.25,0.330201868291228
15.5,0.3389741695685782
15.75,0.34798467548205636
16.0,0.35724594633380846
16.25,0.3667714144554477
16.5,0.37657546668454245
16.75,0.38667353684357764
17.0,0.3970822097483193
17.25,0.407819338564277
17.5,0.4189041776815756
17.75,0.430357533719242
18.0,0.44220193781125516
18.25,0.4544618430133802
18.5,0.4671638515339822
18.75,0.48033697759254324
19.0,0.49401295313143834
19.25,0.5082265854491865
19.5,0.523016178249307
19.75,0.538424030819165
20.0,0.5544970343923765
20.25,0.5712873906675107
20.5,0.5888534856553314
20.75,0.6072609635733812
