Position_1,Refraction_1
0.0,0.0
0.25,0.00350641999271159
0.5,0.007014126225914352
0.75,0.010524406552997134
1.0,0.014038552069462362
1.25,0.017557858735819165
1.5,0.021083629023588735
1.75,0.024617173576743978
2.0,0.028159812893603364
2.25,0.03171287903917808
2.5,0.035277717386207996
2.75,0.03885568839626963
3.0,0.04244816944081409
3.25,0.04605655667230035
3.5,0.04968226694568045
3.75,0.053326739801844436
4.0,0.0569914395157598
4.25,0.060677857216396625
4.5,0.06438751308558377
4.75,0.06812195864422854
5.0,0.0718827791318617
5.25,0.07567159599059359
5.5,0.07949006945827719
5.75,0.0833399012856555
6.0,0.08722283758260563
6.25,0.09114067180920937
6.5,0.09509524791959922
6.75,0.09908846367505486
7.0,0.10312227413654895
7.25,0.10719869535538162
7.5,0.1113198082754403
7.75,0.11548776286706719
8.0,0.1197047825094062
8.25,0.12397316864488594
8.5,0.12829530572685321
8.75,0.13267366648578438
9.0,0.13711081754332
9.25,0.1416094254009117
9.5,0.1461722628395492
9.75,0.15080221576426744
10.0,0.15550229053513576
10.25,0.16027562182787136
10.5,0.16512548107379033
10.75,0.17005528553169924
11.0,0.17506860805258562
11.25,0.1801691876033864
11.5,0.1853609406231147
11.75,0.19064797329425787
12.0,0.19603459482033792
12.25,0.20152533181401466
12.5,0.2071249439087186
12.75,0.2128384407252657
13.0,0.21867110033749526
13.25,0.2246284894019741
13.5,0.2307164851370267
13.75,0.2369412993616553
14.0,0.24330950483489744
14.25,0.24982806416547376
14.5,0.25650436160621126
14.75,0.2633462380889835
15.0,0.2703620299105651
15.25,0.2775606115431337
15.5,0.28495144311759724
15.75,0.2925446232163722
16.0,0.30035094771643855
16.25,0.30838197555227964
16.5,0.31665010241905733
16.75,0.3251686436205148
17.0,0.3339519274932563
17.25,0.34301540110834594
17.5,0.35237575029750445
17.75,0.3620510364632743
18.0,0.3720608531617131
18.25,0.38242650610414586
18.5,0.3931712210602747
18.75,0.4043203852137509
19.0,0.4159018289045484
19.25,0.4279461564860938
19.5,0.44048713740182777
19.75,0.4535621717362197
20.0,0.46721284876434055
20.25,0.4814856228460691
20.5,0.4964326391058229
20.75,0.5121127527546605
