Position_2,Refraction_2
0.0,0.0
0.25,0.004124772727241904
0.5,0.008251087202999052
0.75,0.012380487134060703
1.0,0.016514520166398983
1.25,0.020654739851768245
1.5,0.02480270765085102
1.75,0.028959994948198675
2.0,0.0331281850982168
2.25,0.03730887550177764
2.5,0.041503679725206855
2.75,0.04571422966197325
3.0,0.04994217774634979
3.25,0.05418919922702248
3.5,0.05845699450447839
3.75,0.06274729154065906
4.0,0.06706184835003004
4.25,0.07140245557728075
4.5,0.07577093917278965
4.75,0.08016916317260314
5.0,0.08459903259486712
5.25,0.08906249646122433
5.5,0.09356155095368823
5.75,0.09809824272153911
6.0,0.10267467234679639
6.25,0.10729299798549441
6.5,0.11195543919625894
6.75,0.11666428097420578
7.0,0.12142187800584026
7.25,0.12623065916291587
7.5,0.13109313225674057
7.75,0.13601188907294226
8.0,0.14098961071046912
8.25,0.1460290732514391
8.5,0.15113315378797232
8.75,0.15630483683773377
9.0,0.16154722118131026
9.25,0.16686352715710662
9.5,0.17225710445445408
9.75,0.17773144044856615
10.0,0.183290169125776
10.25,0.18893708065225034
10.5,0.1946761316446981
10.75,0.20051145620843158
11.0,0.20644737781426237
11.25,0.21248842209436702
11.5,0.21863933064459395
11.75,0.2249050759341138
12.0,0.23129087742891485
12.25,0.2378022190546485
12.5,0.2444448681346394
12.75,0.25122489595696607
13.0,0.25814870014455593
13.25,0.26522302902112926
13.5,0.27245500819440593
13.75,0.2798521696041316
14.0,0.2874224833168366
14.25,0.29517439238728826
14.5,0.3031168511523976
14.75,0.31125936737398696
15.0,0.31961204870926174
15.25,0.328185654058359
15.5,0.33699165042422585
15.75,0.3460422760189932
16.0,0.3553506104690296
16.25,0.36493065311598194
16.5,0.37479741057642
16.75,0.3849669949324337
17.0,0.3954567341704731
17.25,0.40628529679065295
17.5,0.4174728328789037
17.75,0.42904113439360003
18.0,0.4410138179868426
18.25,0.4534165343931811
18.5,0.46627720932011485
18.75,0.47962632191561383
19.0,0.49349722836097953
19.25,0.5079265400415842
19.5,0.5229545682476342
19.75,0.5386258506689501
20.0,0.5549897793989729
20.25,0.5721013562184396
20.5,0.5900221093006728
20.75,0.6088212172371108
