Position_1,Refraction_1
0.0,0.0
0.25,0.003712089239177957
0.5,0.007425547207906835
0.75,0.011141744359240535
1.0,0.01486205460487644
1.25,0.018587857045853085
1.5,0.022320537731461032
1.75,0.02606149142951808
2.0,0.029812123423763826
2.25,0.03357385133753521
2.5,0.037348106994378405
2.75,0.04113633831643382
3.0,0.04494001126835023
3.25,0.048760611852544766
3.5,0.05259964816129514
3.75,0.05645865249097737
4.0,0.06033918352812506
4.25,0.0642428286107064
4.5,0.06817120607474525
4.75,0.07212596769249657
5.0,0.07610880121181207
5.25,0.08012143300503372
5.5,0.08416563083601147
5.75,0.08824320675784048
6.0,0.09235602014956434
6.25,0.09650598090577667
6.5,0.10069505279022106
6.75,0.10492525696827659
7.0,0.10919867573266462
7.25,0.11351745643772926
7.5,0.11788381566104444
7.75,0.12230004360995039
8.0,0.12676850879397428
8.25,0.1312916629860137
8.5,0.13587204649531692
8.75,0.1405122937803327
9.0,0.14521513942973385
9.25,0.14998342454357072
9.5,0.15482010354991438
9.75,0.15972825149477465
10.0,0.16471107184886868
10.25,0.16977190487648208
10.5,0.1749142366191201
10.75,0.18014170855043687
11.0,0.18545812796558536
11.25,0.190867479175445
11.5,0.19637393558298477
11.75,0.2019818727296805
12.0,0.20769588240733228
12.25,0.21352078794456375
12.5,0.2194616607888804
12.75,0.22552383852019275
13.0,0.23171294444919077
13.25,0.23803490897231505
13.5,0.24449599287918566
13.75,0.25110281283234315
14.0,0.25786236927076445
14.25,0.26478207702146683
14.5,0.2718697989461667
14.75,0.2791338829950991
15.0,0.2865832030967752
15.25,0.2942272043770373
15.5,0.30207595327803993
15.75,0.3101401932391781
16.0,0.318431406709756
16.25,0.3269618843957929
16.5,0.33574480279677843
16.75,0.3447943112810492
17.0,0.3541256301758082
17.25,0.36375516163130683
17.5,0.37370061536367416
17.75,0.3839811518114331
18.0,0.3946175457732721
18.25,0.4056323742681265
18.5,0.4170502332092205
18.75,0.42889798856874606
19.0,0.44120506911196244
19.25,0.4540038096008914
19.5,0.4673298557672112
19.75,0.4812226455444737
20.0,0.4957259853526068
20.25,0.5108887461042322
20.5,0.5267657117516329
20.75,0.5434186246795818
