Position_2,Refraction_2
0.0,0.0
0.25,0.0061439264924590675
0.5,0.01229000258967039
0.75,0.01844038046392371
1.0,0.024597217438316332
1.25,0.030762678572081148
1.5,0.036938939272673554
1.75,0.043128187934015516
2.0,0.04933262860571075
2.25,0.055554483707093816
2.5,0.06179599678542669
2.75,0.06805943533342651
3.0,0.07434709366769932
3.25,0.08066129588106241
3.5,0.087004398871946
3.75,0.09337879546542638
4.0,0.0997869176311359
4.25,0.10623123980912741
4.5,0.11271428235210035
4.75,0.11923861510079448
5.0,0.12580686109426065
5.25,0.1324217004377104
5.5,0.13908587433235908
5.75,0.14580218928748945
6.0,0.1525735215247188
6.25,0.1594028215946217
6.5,0.16629311921917722
6.75,0.17324752838183244
7.0,0.1802692526813976
7.25,0.18736159097481941
7.5,0.19452794332893664
7.75,0.20177181730864113
8.0,0.20909683462612438
8.25,0.21650673818319532
8.5,0.22400539953608245
8.75,0.2315968268202493
9.0,0.23928517317067133
9.25,0.24707474568006305
9.5,0.25497001494094107
9.75,0.26297562521942197
10.0,0.2710964053164435
10.25,0.27933738017496523
10.5,0.28770378329963364
10.75,0.2962010700594373
11.0,0.30483493195388434
11.25,0.31361131193017755
11.5,0.32253642084781475
11.75,0.33161675519825984
12.0,0.34085911619819065
12.25,0.3502706303897618
12.5,0.3598587718932311
12.75,0.3696313864780514
13.0,0.3795967176342945
13.25,0.38976343485054166
13.5,0.4001406643279122
13.75,0.410738022389042
14.0,0.42156565187474015
14.25,0.43263426185451515
14.5,0.4439551710261007
14.75,0.4555403552249686
15.0,0.46740249952376445
15.25,0.47955505546945965
15.5,0.49201230408492336
15.75,0.5047894253512926
16.0,0.5179025749986952
16.25,0.5313689695563184
16.5,0.5452069807664888
16.75,0.5594362406433397
17.0,0.574077758673301
17.25,0.5891540529045791
17.5,0.6046892969885072
17.75,0.6207094856005995
18.0,0.6372426211281272
18.25,0.6543189250651764
18.5,0.6719710782401833
18.75,0.6902344948495305
19.0,0.7091476363331211
19.25,0.7287523724569311
19.5,0.7490943986617573
19.75,0.7702237208963574
20.0,0.7921952219438992
20.25,0.8150693268840143
20.5,0.8389127901214479
20.75,0.8637996327903217
