Price, 
1125,
1015,
1215,
1260,
1425,
1720,
1870,
1150,
890,
1720,
1020,
1400,
710,
1890,
1590,
1025,
1200,
1635,
1825,
1225,
1720,
1720,
1125,
1265,
1490,
1585,
1325,
1820,
550,
370,
1365,
850,
210,
1450,
1840,
1025,
1515,
645,
800,
1450,
950,
