CPQ_price, 
70.0
120.0
6.5
20.0
14.5
105.0
125.0
20.0
310.0
200.0
250.0
40.0
23.0
45.0
5.5
700.0
115.0
120.0
230.0
550.0
150.0
260.0
360.0
325.0
250.0
350.0
140.0
150.0
145.0
725.0
95.0
220.0
100.0
140.0
310.0
500.0
220.0
750.0
180.0
45.0
140.0
660.0
220.0
450.0
70.0
350.0
375.0
455.0
190.0
70.0
140.0
40.0
40.0
575.0
