CPQ_price, 
900.0
335.0
120.0
950.0
725.0
140.0
875.0
310.0
270.0
800.0
400.0
145.0
170.0
145.0
1175.0
650.0
220.0
195.0
75.0
215.0
22.0
70.0
195.0
240.0
850.0
165.0
45.0
170.0
70.0
370.0
430.0
500.0
45.0
210.0
425.0
190.0
425.0
270.0
140.0
200.0
225.0
40.0
575.0
70.0
105.0
6.0
20.0
14.5
50.0
46.0
160.0
70.0
410.0
125.0
250.0
25.0
23.0
45.0
7.0
